mp,sim,full_name,member
18132,0.7520603979,Романюк Віктор,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
8757,0.7514320167,Денісова Людмила,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
Radical,0.751139535,Радикальна Партія,NA
15651,0.7480419145,Павелко Андрій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18026,0.7475552249,Семенуха Роман,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18025,0.7470468776,Підлісецький Лев,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18149,0.7468672782,Юринець Оксана,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
12455,0.7455315187,Кириченко Олексій,Фракція Радикальної партії Олега Ляшка
15653,0.7440740561,Фаєрмарк Сергій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18013,0.7424369348,Маркевич Ярослав,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18091,0.742091912,Жолобецький Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
4761,0.7410806246,Ємець Леонід,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
11118,0.7407860326,Ар'єв Володимир,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17981,0.7397384101,Кононенко Ігор,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18048,0.7381703753,Кошелєва Альона,Фракція Радикальної партії Олега Ляшка
17976,0.7380204386,Заліщук Світлана,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15654,0.7368480315,Іванчук Андрій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18047,0.7367744799,Силантьєв Денис,Фракція Радикальної партії Олега Ляшка
18605,0.7365260204,Лесюк Ярослав,Позафракційні
15647,0.7349551935,Луценко Ірина,Позафракційні
18108,0.7348488592,Кришин Олег,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17957,0.7319557534,Ксенжук Олександр,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15670,0.7318784115,Палатний Артур,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18147,0.7297679003,Хлань Сергій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18127,0.7291593201,Подоляк Ірина,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
5504,0.7265597717,Третьяков Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
19058,0.7263753937,Немировський Андрій,"Група "Воля народу"
18139,0.7263458378,Сугоняко Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17967,0.7260583048,Кацер-Бучковська Наталія,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18046,0.7230959389,Галасюк Віктор,Фракція Радикальної партії Олега Ляшка
18014,0.7225951359,Мірошніченко Іван,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18143,0.7220265018,Урбанський Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18052,0.7218631842,Лінько Дмитро,Фракція Радикальної партії Олега Ляшка
18006,0.7215084964,Кишкар Павло,Позафракційні
18089,0.7212098299,Євлахов Анатолій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
5414,0.7208066789,Гринів Ігор,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18109,0.7197480714,Кузьменко Анатолій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18122,0.717838671,Недава Олег,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
8132,0.7177837107,Вовк Віктор,Фракція Радикальної партії Олега Ляшка
18067,0.7148732304,Вадатурський Андрій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17996,0.7144197253,Мушак Олексій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
9540,0.7142700732,Унгурян Павло,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17952,0.7131068784,Геращенко Антон,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
11728,0.7117930238,Євтушок Сергій,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
18005,0.7107739093,Кривенко Віктор,Позафракційні
18094,0.7107482983,Кіт Андрій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17990,0.7106526689,Кобцев Михайло,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
